post_id,comment_id,user_id,date,text
119107,119115,26347709,1758129428,Саня шайбу! Здоровья и всех благ!
119107,119119,529091871,1758212181,"Александр! С Днём рождения 🎉
Новых побед 🏆 и достижений! Хорошего настроения, счастья интересных эмоций!!!
Оле, оле, Оле, Саша, вперёд!!! 🤟"
119107,119121,239324880,1758252616,"Александр!
С Днём рождения тебя поздравляю!
Приглашай на свой праздник родных и друзей 🎂
Вкусной пиццей 🍕 их угощай от души!
Ты и Папа лучше всех!!!❤️"
119107,119122,586064982,1758271397,"Невозможно пройти мимо и не поздравить Александра Овечкина с Днём Рождения.
Желаю простых человеческих радостей. Хорошего настроения по утрам. Чтобы будильник не бесил. Чтобы дети радовали. Чтобы мизинец не задевал тумбочку. И чтобы здоровье всегда оставалось на высоте."
119107,119131,18199188,1758600466,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119105,119135,18199188,1758600496,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119103,119104,138311218,1757970367,"Перец отпад, а что соус к сожалению ужасный)
Каждый раз когда заказываю просто выкидываю его 😅"
119103,119136,18199188,1758600502,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119097,119100,140786176,1757682378,"Супер, супер, супер 👍💯"
119097,119101,556698457,1757684084,"Почему уже неделю из пиццерии на Адмирала Руднева 20 нельзя заказать «женский стендап с манго-чили» из-за отсутствия ингредиентов? Только появилось в меню и уже ингредиентов нет? За всю неделю нельзя было дозаказать необходимое, и не было ни одной поставки?"
119097,119137,18199188,1758600509,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119078,119080,563442258,1756900323,
119078,119082,484346567,1756971241,У вас в отделе маркетинга сын учередителя сидит что ли? Снимаете просто какую то шляпу…
119078,119098,1033670671,1757615584,Шафутинистые изменения мозга?
119071,119075,140786176,1756822297,
119071,119086,337419753,1757085654,
119071,119158,447367545,1759300754,"Доброго дня.
Хотелось бы узнать, с кем связаться для получения приза!"
119063,119065,12262938,1756738122,"Ну вот, опять повторение истории. Опять делаю заказ и опять звонок от сотрудника с рассказом о том, что якобы терминалы оплаты не работают, оплатите переводом на карту. Вы вообще понимаете, что это нарушение закона Российской федерации?"
119063,119077,12262938,1756837500,"Ну, и я смотрю компании все ровно. Ну что же, в этот раз буду писать, в Роспотребнадзор, Прокуратуру и ФСБ, поскольку вдруг вы финанчируете ВСУ, по этому и просите переводить деньги на карту, а не оплачивать через терминал."
119063,119081,12262938,1756923012,"А какой смысл писать в лс. Я уже описал ситуацию и уже жаловался по такому же поводу. Хотите что то уточнить, спрашивайте."
